         S_ALK   S_I       S_ND       S_NH       S_NO       S_O        S_S      X_BA        X_BH   X_I       X_ND       X_P         X_S
t47   6.206928  40.0   3.422817  18.275358  12.878360  0.838070   6.665978  5.819667  138.095241  40.0  11.805140  1.762128   76.778510
t48   6.204829  40.0   3.401171  18.317102  12.949501  0.837791   6.639796  5.835929  138.298031  40.0  11.683008  1.798272   76.147022
t49   6.202611  40.0   3.380742  18.357049  13.020498  0.837228   6.617383  5.852140  138.497498  40.0  11.561963  1.834237   75.519105
t50   6.200281  40.0   3.361437  18.395272  13.091343  0.836431   6.598067  5.868303  138.694026  40.0  11.442000  1.870022   74.894760
t51   6.197844  40.0   3.343167  18.431839  13.162027  0.835444   6.581294  5.884416  138.887930  40.0  11.323113  1.905628   74.273986
t52   6.195305  40.0   3.325853  18.466817  13.232547  0.834302   6.566607  5.900479  139.079470  40.0  11.205299  1.941055   73.656778
t53   6.192670  40.0   3.309421  18.500271  13.302897  0.833034   6.553631  5.916493  139.268862  40.0  11.088552  1.976303   73.043133
t54   6.189942  40.0   3.293801  18.532260  13.373074  0.831666   6.542055  5.932458  139.456283  40.0  10.972867  2.011373   72.433043
t55   6.187126  40.0   3.278931  18.562843  13.443074  0.830216   6.531626  5.948374  139.641880  40.0  10.858237  2.046266   71.826502
t56   6.184227  40.0   3.264752  18.592075  13.512896  0.828702   6.522136  5.964241  139.825773  40.0  10.744657  2.080982   71.223503
t57   6.181248  40.0   3.251212  18.620008  13.582538  0.827137   6.513413  5.980059  140.008060  40.0  10.632121  2.115522   70.624036
t58   6.178192  40.0   3.238261  18.646691  13.651997  0.825532   6.505317  5.995828  140.188824  40.0  10.520623  2.149886   70.028093
t59   6.175064  40.0   3.225853  18.672171  13.721274  0.823897   6.497734  6.011549  140.368133  40.0  10.410156  2.184076   69.435664
t60   6.171866  40.0   3.213947  18.696491  13.790366  0.822240   6.490569  6.027220  140.546041  40.0  10.300713  2.218091   68.846741
t61   6.168601  40.0   3.202505  18.719692  13.859274  0.820566   6.483745  6.042843  140.722594  40.0  10.192289  2.251932   68.261313
t62   6.165273  40.0   3.191492  18.741813  13.927997  0.818881   6.477200  6.058418  140.897831  40.0  10.084877  2.285601   67.679371
