        H_grow  Han_grow    A_grow   decay_H   decay_A   Ammonia  hydro_org   hydro_N
t          NaN       NaN       NaN       NaN       NaN       NaN        NaN       NaN
t73   0.001489  0.000144  0.000049  0.000823  0.000009  0.000415   0.002188  0.000320
t74   0.001489  0.000144  0.000049  0.000824  0.000009  0.000414   0.002190  0.000320
t75   0.001490  0.000144  0.000049  0.000825  0.000010  0.000413   0.002191  0.000320
t76   0.001491  0.000144  0.000049  0.000826  0.000010  0.000413   0.002193  0.000319
t77   0.001492  0.000144  0.000049  0.000827  0.000010  0.000412   0.002194  0.000319
t78   0.001492  0.000144  0.000049  0.000828  0.000010  0.000412   0.002196  0.000318
t79   0.001493  0.000144  0.000049  0.000829  0.000010  0.000411   0.002197  0.000318
t80   0.001494  0.000145  0.000049  0.000830  0.000010  0.000411   0.002199  0.000318
t81   0.001495  0.000145  0.000050  0.000831  0.000010  0.000410   0.002200  0.000317
t82   0.001495  0.000145  0.000050  0.000831  0.000010  0.000410   0.002201  0.000317
t83   0.001496  0.000145  0.000050  0.000832  0.000010  0.000410   0.002202  0.000317
t84   0.001497  0.000145  0.000050  0.000833  0.000010  0.000409   0.002204  0.000316
t85   0.001497  0.000145  0.000050  0.000834  0.000010  0.000409   0.002205  0.000316
t86   0.001498  0.000145  0.000050  0.000835  0.000010  0.000408   0.002206  0.000315
t87   0.001499  0.000145  0.000050  0.000836  0.000010  0.000408   0.002207  0.000315
t88   0.001499  0.000145  0.000050  0.000837  0.000010  0.000407   0.002208  0.000315
t89   0.001500  0.000145  0.000050  0.000837  0.000010  0.000407   0.002210  0.000314
t90   0.001500  0.000145  0.000051  0.000838  0.000010  0.000406   0.002211  0.000314
t91   0.001501  0.000145  0.000051  0.000839  0.000010  0.000406   0.002212  0.000314
t92   0.001501  0.000146  0.000051  0.000840  0.000010  0.000406   0.002213  0.000313
t93   0.001502  0.000146  0.000051  0.000841  0.000010  0.000405   0.002214  0.000313
t94   0.001502  0.000146  0.000051  0.000841  0.000010  0.000405   0.002215  0.000313
t95   0.001503  0.000146  0.000051  0.000842  0.000010  0.000404   0.002215  0.000312
t96   0.001503  0.000146  0.000051  0.000843  0.000010  0.000404   0.002216  0.000312
t97   0.001504  0.000146  0.000051  0.000844  0.000010  0.000404   0.002217  0.000311
t98   0.001504  0.000146  0.000051  0.000845  0.000010  0.000403   0.002218  0.000311
t99   0.001505  0.000146  0.000052  0.000845  0.000010  0.000403   0.002219  0.000311
t100  0.001505  0.000146  0.000052  0.000846  0.000010  0.000403   0.002219  0.000310
t101  0.001506  0.000146  0.000052  0.000847  0.000010  0.000402   0.002220  0.000310
t102  0.001506  0.000146  0.000052  0.000848  0.000010  0.000402   0.002221  0.000310
t103  0.001506  0.000146  0.000052  0.000848  0.000010  0.000401   0.002222  0.000309
t104  0.001507  0.000146  0.000052  0.000849  0.000010  0.000401   0.002222  0.000309
t105  0.001507  0.000146  0.000052  0.000850  0.000010  0.000401   0.002223  0.000309
t106  0.001507  0.000146  0.000052  0.000851  0.000010  0.000400   0.002223  0.000308
t107  0.001508  0.000146  0.000052  0.000851  0.000010  0.000400   0.002224  0.000308
t108  0.001508  0.000146  0.000052  0.000852  0.000010  0.000400   0.002224  0.000308
t109  0.001508  0.000146  0.000053  0.000853  0.000010  0.000399   0.002225  0.000307
t110  0.001509  0.000147  0.000053  0.000853  0.000010  0.000399   0.002225  0.000307
t111  0.001509  0.000147  0.000053  0.000854  0.000010  0.000399   0.002226  0.000306
t112  0.001509  0.000147  0.000053  0.000855  0.000010  0.000398   0.002226  0.000306
t113  0.001509  0.000147  0.000053  0.000856  0.000010  0.000398   0.002226  0.000306
t114  0.001509  0.000147  0.000053  0.000856  0.000010  0.000397   0.002227  0.000305
t115  0.001510  0.000147  0.000053  0.000857  0.000010  0.000397   0.002227  0.000305
t116  0.001510  0.000147  0.000053  0.000858  0.000010  0.000397   0.002227  0.000305
t117  0.001510  0.000147  0.000053  0.000858  0.000010  0.000396   0.002227  0.000304
t118  0.001510  0.000147  0.000053  0.000859  0.000010  0.000396   0.002227  0.000304
t119  0.001510  0.000147  0.000054  0.000859  0.000010  0.000396   0.002227  0.000304
t120  0.001510  0.000147  0.000054  0.000860  0.000010  0.000395   0.002228  0.000303
t121  0.001510  0.000147  0.000054  0.000861  0.000010  0.000395   0.002228  0.000303
t122  0.001510  0.000147  0.000054  0.000861  0.000011  0.000395   0.002228  0.000303
t123  0.001510  0.000147  0.000054  0.000862  0.000011  0.000394   0.002228  0.000302
t124  0.001510  0.000147  0.000054  0.000863  0.000011  0.000394   0.002227  0.000302
t125  0.001510  0.000147  0.000054  0.000863  0.000011  0.000394   0.002227  0.000302
t126  0.001510  0.000147  0.000054  0.000864  0.000011  0.000393   0.002227  0.000301
t127  0.001510  0.000147  0.000054  0.000864  0.000011  0.000393   0.002227  0.000301
t128  0.001510  0.000147  0.000054  0.000865  0.000011  0.000393   0.002227  0.000301
t129  0.001510  0.000147  0.000055  0.000866  0.000011  0.000392   0.002227  0.000300
t130  0.001510  0.000147  0.000055  0.000866  0.000011  0.000392   0.002226  0.000300
t131  0.001510  0.000147  0.000055  0.000867  0.000011  0.000392   0.002226  0.000300
t132  0.001510  0.000147  0.000055  0.000867  0.000011  0.000391   0.002226  0.000299
