          S_ALK   S_I       S_ND       S_NH       S_NO  S_O        S_S  X_BA        X_BH   X_I       X_ND       X_P         X_S
t49    6.276832  40.0   7.992741  14.350292  17.974650  0.0  52.193064   0.0  102.022055  40.0  18.103828  0.165638  107.826742
t50    6.282083  40.0   7.954859  14.383152  17.933992  0.0  51.957003   0.0  102.141923  40.0  18.100219  0.169065  107.823227
t51    6.287319  40.0   7.917171  14.415830  17.893369  0.0  51.721185   0.0  102.261642  40.0  18.096610  0.172494  107.819714
t52    6.292539  40.0   7.879675  14.448326  17.852780  0.0  51.485613   0.0  102.381212  40.0  18.093000  0.175925  107.816202
t53    6.297744  40.0   7.842371  14.480640  17.812227  0.0  51.250290   0.0  102.500631  40.0  18.089390  0.179357  107.812691
t54    6.302933  40.0   7.805258  14.512774  17.771709  0.0  51.015219   0.0  102.619897  40.0  18.085780  0.182792  107.809181
t55    6.308107  40.0   7.768337  14.544728  17.731228  0.0  50.780404   0.0  102.739008  40.0  18.082169  0.186228  107.805672
t56    6.313266  40.0   7.731605  14.576503  17.690783  0.0  50.545847   0.0  102.857962  40.0  18.078558  0.189666  107.802165
t57    6.318409  40.0   7.695063  14.608101  17.650375  0.0  50.311551   0.0  102.976759  40.0  18.074946  0.193105  107.798659
t58    6.323537  40.0   7.658709  14.639521  17.610005  0.0  50.077519   0.0  103.095395  40.0  18.071335  0.196546  107.795154
t59    6.328649  40.0   7.622543  14.670764  17.569673  0.0  49.843755   0.0  103.213870  40.0  18.067722  0.199989  107.791651
t60    6.333747  40.0   7.586565  14.701832  17.529380  0.0  49.610262   0.0  103.332181  40.0  18.064110  0.203434  107.788148
t61    6.338829  40.0   7.550773  14.732725  17.489125  0.0  49.377043   0.0  103.450327  40.0  18.060498  0.206881  107.784647
t62    6.343895  40.0   7.515168  14.763443  17.448911  0.0  49.144101   0.0  103.568306  40.0  18.056885  0.210329  107.781148
t63    6.348947  40.0   7.479747  14.793988  17.408736  0.0  48.911440   0.0  103.686116  40.0  18.053272  0.213779  107.777650
t64    6.353983  40.0   7.444512  14.824361  17.368602  0.0  48.679061   0.0  103.803756  40.0  18.049658  0.217230  107.774153
t65    6.359004  40.0   7.409460  14.854562  17.328509  0.0  48.446970   0.0  103.921223  40.0  18.046045  0.220684  107.770658
t66    6.364010  40.0   7.374591  14.884592  17.288457  0.0  48.215169   0.0  104.038516  40.0  18.042431  0.224139  107.767164
t67    6.369000  40.0   7.339906  14.914452  17.248447  0.0  47.983661   0.0  104.155632  40.0  18.038817  0.227595  107.763671
t68    6.373976  40.0   7.305402  14.944142  17.208480  0.0  47.752449   0.0  104.272571  40.0  18.035203  0.231053  107.760180
t69    6.378936  40.0   7.271079  14.973664  17.168556  0.0  47.521538   0.0  104.389330  40.0  18.031588  0.234513  107.756691
t70    6.383882  40.0   7.236937  15.003017  17.128676  0.0  47.290929   0.0  104.505907  40.0  18.027974  0.237975  107.753203
t71    6.388812  40.0   7.202975  15.032204  17.088840  0.0  47.060627   0.0  104.622300  40.0  18.024359  0.241438  107.749716
t72    6.393727  40.0   7.169192  15.061225  17.049048  0.0  46.830636   0.0  104.738508  40.0  18.020744  0.244903  107.746231
t73    6.398627  40.0   7.135588  15.090080  17.009302  0.0  46.600957   0.0  104.854529  40.0  18.017129  0.248369  107.742748
t74    6.403512  40.0   7.102162  15.118770  16.969601  0.0  46.371595   0.0  104.970360  40.0  18.013514  0.251838  107.739266
t75    6.408382  40.0   7.068913  15.147297  16.929947  0.0  46.142554   0.0  105.086000  40.0  18.009898  0.255307  107.735786
t76    6.413237  40.0   7.035841  15.175661  16.890339  0.0  45.913836   0.0  105.201447  40.0  18.006283  0.258779  107.732307
t77    6.418077  40.0   7.002944  15.203862  16.850778  0.0  45.685445   0.0  105.316699  40.0  18.002668  0.262251  107.728830
t78    6.422903  40.0   6.970223  15.231902  16.811265  0.0  45.457384   0.0  105.431753  40.0  17.999052  0.265726  107.725355
t79    6.427713  40.0   6.937676  15.259781  16.771801  0.0  45.229658   0.0  105.546609  40.0  17.995436  0.269202  107.721881
t80    6.432508  40.0   6.905303  15.287500  16.732385  0.0  45.002268   0.0  105.661264  40.0  17.991821  0.272680  107.718410
t81    6.437289  40.0   6.873104  15.315060  16.693019  0.0  44.775220   0.0  105.775715  40.0  17.988205  0.276159  107.714939
t82    6.442054  40.0   6.841077  15.342462  16.653703  0.0  44.548517   0.0  105.889962  40.0  17.984589  0.279640  107.711471
t83    6.446805  40.0   6.809222  15.369706  16.614437  0.0  44.322162   0.0  106.004002  40.0  17.980973  0.283122  107.708004
t84    6.451541  40.0   6.777538  15.396793  16.575222  0.0  44.096158   0.0  106.117833  40.0  17.977358  0.286606  107.704539
t85    6.456262  40.0   6.746025  15.423725  16.536059  0.0  43.870510   0.0  106.231452  40.0  17.973742  0.290091  107.701076
