            h_S  h_OH  h_OHan      h_NO      h_NH  h_OA     h_SBH
t           NaN   NaN     NaN       NaN       NaN   NaN       NaN
t90    0.682470   0.0     1.0  0.970383  0.954453   0.0  0.980573
t91    0.681338   0.0     1.0  0.970315  0.954526   0.0  0.980552
t92    0.680201   0.0     1.0  0.970247  0.954598   0.0  0.980531
t93    0.679057   0.0     1.0  0.970178  0.954670   0.0  0.980511
t94    0.677907   0.0     1.0  0.970109  0.954741   0.0  0.980490
t95    0.676750   0.0     1.0  0.970040  0.954812   0.0  0.980470
t96    0.675587   0.0     1.0  0.969970  0.954882   0.0  0.980449
t97    0.674419   0.0     1.0  0.969900  0.954951   0.0  0.980429
t98    0.673243   0.0     1.0  0.969831  0.955019   0.0  0.980408
t99    0.672062   0.0     1.0  0.969760  0.955087   0.0  0.980388
t100   0.670874   0.0     1.0  0.969690  0.955155   0.0  0.980368
t101   0.669679   0.0     1.0  0.969620  0.955222   0.0  0.980347
t102   0.668478   0.0     1.0  0.969549  0.955288   0.0  0.980327
t103   0.667271   0.0     1.0  0.969478  0.955354   0.0  0.980307
t104   0.666058   0.0     1.0  0.969407  0.955419   0.0  0.980287
t105   0.664837   0.0     1.0  0.969335  0.955483   0.0  0.980267
t106   0.663611   0.0     1.0  0.969264  0.955547   0.0  0.980247
t107   0.662377   0.0     1.0  0.969192  0.955611   0.0  0.980227
t108   0.661137   0.0     1.0  0.969120  0.955674   0.0  0.980207
t109   0.659891   0.0     1.0  0.969048  0.955736   0.0  0.980187
t110   0.658638   0.0     1.0  0.968975  0.955798   0.0  0.980167
t111   0.657378   0.0     1.0  0.968903  0.955859   0.0  0.980147
t112   0.656112   0.0     1.0  0.968830  0.955920   0.0  0.980127
t113   0.654839   0.0     1.0  0.968757  0.955980   0.0  0.980107
t114   0.653560   0.0     1.0  0.968683  0.956040   0.0  0.980088
t115   0.652273   0.0     1.0  0.968610  0.956099   0.0  0.980068
t116   0.650980   0.0     1.0  0.968536  0.956158   0.0  0.980049
t117   0.649680   0.0     1.0  0.968462  0.956216   0.0  0.980029
t118   0.648374   0.0     1.0  0.968388  0.956274   0.0  0.980010
t119   0.647061   0.0     1.0  0.968314  0.956331   0.0  0.979990
t120   0.645740   0.0     1.0  0.968239  0.956388   0.0  0.979971
t121   0.644414   0.0     1.0  0.968164  0.956444   0.0  0.979951
t122   0.643080   0.0     1.0  0.968089  0.956500   0.0  0.979932
t123   0.641739   0.0     1.0  0.968014  0.956555   0.0  0.979913
t124   0.640392   0.0     1.0  0.967939  0.956610   0.0  0.979894
t125   0.639037   0.0     1.0  0.967863  0.956665   0.0  0.979875
t126   0.637676   0.0     1.0  0.967788  0.956719   0.0  0.979856
t127   0.636308   0.0     1.0  0.967712  0.956772   0.0  0.979837
t128   0.634933   0.0     1.0  0.967636  0.956825   0.0  0.979818
t129   0.633551   0.0     1.0  0.967559  0.956878   0.0  0.979799
t130   0.632162   0.0     1.0  0.967483  0.956930   0.0  0.979780
t131   0.630767   0.0     1.0  0.967406  0.956982   0.0  0.979761
t132   0.629364   0.0     1.0  0.967329  0.957033   0.0  0.979742
t133   0.627954   0.0     1.0  0.967252  0.957084   0.0  0.979724
t134   0.626538   0.0     1.0  0.967175  0.957135   0.0  0.979705
t135   0.625114   0.0     1.0  0.967097  0.957185   0.0  0.979686
t136   0.623683   0.0     1.0  0.967019  0.957235   0.0  0.979668
t137   0.622246   0.0     1.0  0.966942  0.957284   0.0  0.979649
t138   0.620801   0.0     1.0  0.966863  0.957333   0.0  0.979631
t139   0.619350   0.0     1.0  0.966785  0.957381   0.0  0.979613
t140   0.617891   0.0     1.0  0.966707  0.957430   0.0  0.979594
t141   0.616426   0.0     1.0  0.966628  0.957477   0.0  0.979576
t142   0.614953   0.0     1.0  0.966549  0.957525   0.0  0.979558
t143   0.613474   0.0     1.0  0.966470  0.957572   0.0  0.979540
t144   0.611987   0.0     1.0  0.966391  0.957618   0.0  0.979522
t145   0.610494   0.0     1.0  0.966312  0.957665   0.0  0.979504
t146   0.608994   0.0     1.0  0.966233  0.957711   0.0  0.979486
t147   0.607486   0.0     1.0  0.966153  0.957756   0.0  0.979468
t148   0.605972   0.0     1.0  0.966073  0.957801   0.0  0.979450
t149   0.604450   0.0     1.0  0.965993  0.957846   0.0  0.979433
t150   0.602922   0.0     1.0  0.965913  0.957891   0.0  0.979415
t151   0.601387   0.0     1.0  0.965833  0.957935   0.0  0.979397
t152   0.599845   0.0     1.0  0.965752  0.957979   0.0  0.979380
t153   0.598296   0.0     1.0  0.965671  0.958022   0.0  0.979362
t154   0.596740   0.0     1.0  0.965591  0.958065   0.0  0.979345
t155   0.595177   0.0     1.0  0.965510  0.958108   0.0  0.979328
t156   0.593607   0.0     1.0  0.965429  0.958150   0.0  0.979310
t157   0.592030   0.0     1.0  0.965347  0.958193   0.0  0.979293
t158   0.590447   0.0     1.0  0.965266  0.958234   0.0  0.979276
t159   0.588856   0.0     1.0  0.965184  0.958276   0.0  0.979259
t160   0.587259   0.0     1.0  0.965103  0.958317   0.0  0.979242
t161   0.585655   0.0     1.0  0.965021  0.958358   0.0  0.979225
t162   0.584045   0.0     1.0  0.964939  0.958399   0.0  0.979208
t163   0.582427   0.0     1.0  0.964857  0.958439   0.0  0.979191
t164   0.580803   0.0     1.0  0.964775  0.958479   0.0  0.979175
t165   0.579172   0.0     1.0  0.964692  0.958518   0.0  0.979158
t166   0.577535   0.0     1.0  0.964610  0.958558   0.0  0.979141
t167   0.575890   0.0     1.0  0.964527  0.958597   0.0  0.979125
t168   0.574240   0.0     1.0  0.964444  0.958636   0.0  0.979109
t169   0.572582   0.0     1.0  0.964361  0.958674   0.0  0.979092
t170   0.570919   0.0     1.0  0.964278  0.958713   0.0  0.979076
t171   0.569248   0.0     1.0  0.964195  0.958750   0.0  0.979060
t172   0.567572   0.0     1.0  0.964112  0.958788   0.0  0.979043
t173   0.565888   0.0     1.0  0.964029  0.958826   0.0  0.979027
t174   0.564199   0.0     1.0  0.963945  0.958863   0.0  0.979011
t175   0.562503   0.0     1.0  0.963862  0.958900   0.0  0.978995
t176   0.560801   0.0     1.0  0.963778  0.958936   0.0  0.978980
t177   0.559092   0.0     1.0  0.963694  0.958973   0.0  0.978964
t178   0.557378   0.0     1.0  0.963610  0.959009   0.0  0.978948
