            h_S  h_OH  h_OHan      h_NO      h_NH  h_OA     h_SBH
t           NaN   NaN     NaN       NaN       NaN   NaN       NaN
t387   0.232472   0.0     1.0  0.948900  0.963461   0.0  0.977464
t388   0.231765   0.0     1.0  0.948856  0.963474   0.0  0.977464
t389   0.231067   0.0     1.0  0.948812  0.963487   0.0  0.977464
t390   0.230377   0.0     1.0  0.948768  0.963500   0.0  0.977464
t391   0.229697   0.0     1.0  0.948725  0.963513   0.0  0.977463
t392   0.229025   0.0     1.0  0.948681  0.963526   0.0  0.977463
t393   0.228361   0.0     1.0  0.948638  0.963539   0.0  0.977463
t394   0.227706   0.0     1.0  0.948595  0.963552   0.0  0.977463
t395   0.227059   0.0     1.0  0.948552  0.963565   0.0  0.977463
t396   0.226421   0.0     1.0  0.948510  0.963577   0.0  0.977463
t397   0.225791   0.0     1.0  0.948467  0.963590   0.0  0.977463
t398   0.225169   0.0     1.0  0.948425  0.963603   0.0  0.977463
t399   0.224555   0.0     1.0  0.948383  0.963615   0.0  0.977463
t400   0.223949   0.0     1.0  0.948341  0.963628   0.0  0.977463
t401   0.223351   0.0     1.0  0.948299  0.963640   0.0  0.977464
t402   0.222760   0.0     1.0  0.948258  0.963652   0.0  0.977464
t403   0.222178   0.0     1.0  0.948217  0.963665   0.0  0.977464
t404   0.221603   0.0     1.0  0.948175  0.963677   0.0  0.977464
t405   0.221036   0.0     1.0  0.948134  0.963689   0.0  0.977464
t406   0.220476   0.0     1.0  0.948094  0.963702   0.0  0.977465
t407   0.219924   0.0     1.0  0.948053  0.963714   0.0  0.977465
t408   0.219379   0.0     1.0  0.948013  0.963726   0.0  0.977465
t409   0.218842   0.0     1.0  0.947973  0.963738   0.0  0.977466
t410   0.218312   0.0     1.0  0.947933  0.963750   0.0  0.977466
t411   0.217789   0.0     1.0  0.947893  0.963762   0.0  0.977467
t412   0.217273   0.0     1.0  0.947853  0.963774   0.0  0.977467
t413   0.216764   0.0     1.0  0.947813  0.963786   0.0  0.977468
t414   0.216262   0.0     1.0  0.947774  0.963798   0.0  0.977468
t415   0.215767   0.0     1.0  0.947735  0.963810   0.0  0.977469
t416   0.215278   0.0     1.0  0.947696  0.963821   0.0  0.977469
t417   0.214797   0.0     1.0  0.947657  0.963833   0.0  0.977470
t418   0.214322   0.0     1.0  0.947618  0.963845   0.0  0.977470
t419   0.213853   0.0     1.0  0.947579  0.963856   0.0  0.977471
t420   0.213391   0.0     1.0  0.947541  0.963868   0.0  0.977471
t421   0.212936   0.0     1.0  0.947503  0.963880   0.0  0.977472
t422   0.212487   0.0     1.0  0.947465  0.963891   0.0  0.977473
t423   0.212044   0.0     1.0  0.947427  0.963903   0.0  0.977473
t424   0.211607   0.0     1.0  0.947389  0.963914   0.0  0.977474
t425   0.211177   0.0     1.0  0.947351  0.963925   0.0  0.977475
t426   0.210753   0.0     1.0  0.947314  0.963937   0.0  0.977476
t427   0.210334   0.0     1.0  0.947276  0.963948   0.0  0.977476
t428   0.209922   0.0     1.0  0.947239  0.963959   0.0  0.977477
t429   0.209515   0.0     1.0  0.947202  0.963971   0.0  0.977478
t430   0.209114   0.0     1.0  0.947165  0.963982   0.0  0.977479
t431   0.208719   0.0     1.0  0.947128  0.963993   0.0  0.977480
t432   0.208330   0.0     1.0  0.947091  0.964004   0.0  0.977481
t433   0.207946   0.0     1.0  0.947054  0.964015   0.0  0.977482
t434   0.207568   0.0     1.0  0.947018  0.964026   0.0  0.977482
t435   0.207195   0.0     1.0  0.946982  0.964037   0.0  0.977483
t436   0.206828   0.0     1.0  0.946945  0.964048   0.0  0.977484
t437   0.206466   0.0     1.0  0.946909  0.964059   0.0  0.977485
t438   0.206109   0.0     1.0  0.946873  0.964070   0.0  0.977486
t439   0.205757   0.0     1.0  0.946838  0.964080   0.0  0.977487
t440   0.205411   0.0     1.0  0.946802  0.964091   0.0  0.977488
t441   0.205069   0.0     1.0  0.946766  0.964102   0.0  0.977489
t442   0.204733   0.0     1.0  0.946731  0.964113   0.0  0.977490
t443   0.204401   0.0     1.0  0.946695  0.964123   0.0  0.977491
t444   0.204075   0.0     1.0  0.946660  0.964134   0.0  0.977492
t445   0.203753   0.0     1.0  0.946625  0.964144   0.0  0.977494
t446   0.203436   0.0     1.0  0.946590  0.964155   0.0  0.977495
t447   0.203124   0.0     1.0  0.946555  0.964165   0.0  0.977496
t448   0.202816   0.0     1.0  0.946520  0.964176   0.0  0.977497
t449   0.202513   0.0     1.0  0.946485  0.964186   0.0  0.977498
t450   0.202214   0.0     1.0  0.946451  0.964197   0.0  0.977499
t451   0.201920   0.0     1.0  0.946416  0.964207   0.0  0.977500
t452   0.201631   0.0     1.0  0.946382  0.964217   0.0  0.977502
t453   0.201345   0.0     1.0  0.946348  0.964227   0.0  0.977503
t454   0.201064   0.0     1.0  0.946313  0.964238   0.0  0.977504
t455   0.200788   0.0     1.0  0.946279  0.964248   0.0  0.977505
t456   0.200515   0.0     1.0  0.946245  0.964258   0.0  0.977507
t457   0.200246   0.0     1.0  0.946211  0.964268   0.0  0.977508
t458   0.199982   0.0     1.0  0.946178  0.964278   0.0  0.977509
t459   0.199722   0.0     1.0  0.946144  0.964288   0.0  0.977510
t460   0.199465   0.0     1.0  0.946110  0.964298   0.0  0.977512
t461   0.199213   0.0     1.0  0.946077  0.964308   0.0  0.977513
t462   0.198964   0.0     1.0  0.946043  0.964318   0.0  0.977514
t463   0.198719   0.0     1.0  0.946010  0.964328   0.0  0.977516
t464   0.198478   0.0     1.0  0.945977  0.964338   0.0  0.977517
t465   0.198241   0.0     1.0  0.945944  0.964348   0.0  0.977518
t466   0.198007   0.0     1.0  0.945910  0.964357   0.0  0.977520
t467   0.197777   0.0     1.0  0.945877  0.964367   0.0  0.977521
t468   0.197550   0.0     1.0  0.945845  0.964377   0.0  0.977522
t469   0.197327   0.0     1.0  0.945812  0.964386   0.0  0.977524
t470   0.197108   0.0     1.0  0.945779  0.964396   0.0  0.977525
t471   0.196892   0.0     1.0  0.945746  0.964406   0.0  0.977527
t472   0.196679   0.0     1.0  0.945714  0.964415   0.0  0.977528
t473   0.196469   0.0     1.0  0.945681  0.964425   0.0  0.977529
t474   0.196263   0.0     1.0  0.945649  0.964434   0.0  0.977531
t475   0.196060   0.0     1.0  0.945616  0.964444   0.0  0.977532
t476   0.195860   0.0     1.0  0.945584  0.964453   0.0  0.977534
t477   0.195664   0.0     1.0  0.945552  0.964463   0.0  0.977535
t478   0.195470   0.0     1.0  0.945520  0.964472   0.0  0.977537
t479   0.195280   0.0     1.0  0.945488  0.964481   0.0  0.977538
t480   0.195092   0.0     1.0  0.945456  0.964491   0.0  0.977540
t481   0.194908   0.0     1.0  0.945424  0.964500   0.0  0.977541
t482   0.194726   0.0     1.0  0.945392  0.964509   0.0  0.977543
t483   0.194547   0.0     1.0  0.945360  0.964518   0.0  0.977544
t484   0.194371   0.0     1.0  0.945328  0.964527   0.0  0.977546
t485   0.194198   0.0     1.0  0.945297  0.964537   0.0  0.977547
t486   0.194028   0.0     1.0  0.945265  0.964546   0.0  0.977549
t487   0.193861   0.0     1.0  0.945234  0.964555   0.0  0.977550
t488   0.193696   0.0     1.0  0.945202  0.964564   0.0  0.977552
t489   0.193533   0.0     1.0  0.945171  0.964573   0.0  0.977554
t490   0.193374   0.0     1.0  0.945139  0.964582   0.0  0.977555
t491   0.193217   0.0     1.0  0.945108  0.964591   0.0  0.977557
t492   0.193062   0.0     1.0  0.945077  0.964600   0.0  0.977558
t493   0.192910   0.0     1.0  0.945046  0.964609   0.0  0.977560
t494   0.192761   0.0     1.0  0.945015  0.964617   0.0  0.977561
t495   0.192614   0.0     1.0  0.944984  0.964626   0.0  0.977563
t496   0.192469   0.0     1.0  0.944953  0.964635   0.0  0.977565
t497   0.192327   0.0     1.0  0.944922  0.964644   0.0  0.977566
t498   0.192187   0.0     1.0  0.944891  0.964652   0.0  0.977568
t499   0.192049   0.0     1.0  0.944860  0.964661   0.0  0.977570
t500   0.191914   0.0     1.0  0.944829  0.964670   0.0  0.977571
t501   0.191780   0.0     1.0  0.944799  0.964678   0.0  0.977573
t502   0.191649   0.0     1.0  0.944768  0.964687   0.0  0.977574
t503   0.191520   0.0     1.0  0.944737  0.964696   0.0  0.977576
t504   0.191394   0.0     1.0  0.944707  0.964704   0.0  0.977578
t505   0.191269   0.0     1.0  0.944676  0.964713   0.0  0.977579
t506   0.191147   0.0     1.0  0.944646  0.964721   0.0  0.977581
t507   0.191026   0.0     1.0  0.944615  0.964730   0.0  0.977583
t508   0.190908   0.0     1.0  0.944585  0.964738   0.0  0.977584
t509   0.190791   0.0     1.0  0.944555  0.964747   0.0  0.977586
t510   0.190676   0.0     1.0  0.944524  0.964755   0.0  0.977588
t511   0.190564   0.0     1.0  0.944494  0.964763   0.0  0.977590
t512   0.190453   0.0     1.0  0.944464  0.964772   0.0  0.977591
t513   0.190344   0.0     1.0  0.944434  0.964780   0.0  0.977593
t514   0.190237   0.0     1.0  0.944404  0.964788   0.0  0.977595
t515   0.190132   0.0     1.0  0.944374  0.964796   0.0  0.977596
t516   0.190028   0.0     1.0  0.944344  0.964805   0.0  0.977598
t517   0.189927   0.0     1.0  0.944314  0.964813   0.0  0.977600
t518   0.189827   0.0     1.0  0.944284  0.964821   0.0  0.977602
t519   0.189728   0.0     1.0  0.944254  0.964829   0.0  0.977603
t520   0.189632   0.0     1.0  0.944224  0.964837   0.0  0.977605
t521   0.189537   0.0     1.0  0.944194  0.964845   0.0  0.977607
t522   0.189444   0.0     1.0  0.944164  0.964853   0.0  0.977609
t523   0.189352   0.0     1.0  0.944135  0.964861   0.0  0.977610
t524   0.189262   0.0     1.0  0.944105  0.964869   0.0  0.977612
t525   0.189173   0.0     1.0  0.944075  0.964877   0.0  0.977614
t526   0.189086   0.0     1.0  0.944046  0.964885   0.0  0.977616
t527   0.189001   0.0     1.0  0.944016  0.964893   0.0  0.977617
t528   0.188917   0.0     1.0  0.943987  0.964901   0.0  0.977619
t529   0.188834   0.0     1.0  0.943957  0.964909   0.0  0.977621
t530   0.188753   0.0     1.0  0.943928  0.964917   0.0  0.977623
t531   0.188674   0.0     1.0  0.943898  0.964924   0.0  0.977624
t532   0.188595   0.0     1.0  0.943869  0.964932   0.0  0.977626
t533   0.188519   0.0     1.0  0.943840  0.964940   0.0  0.977628
t534   0.188443   0.0     1.0  0.943810  0.964948   0.0  0.977630
t535   0.188369   0.0     1.0  0.943781  0.964955   0.0  0.977632
t536   0.188296   0.0     1.0  0.943752  0.964963   0.0  0.977633
t537   0.188225   0.0     1.0  0.943722  0.964971   0.0  0.977635
t538   0.188154   0.0     1.0  0.943693  0.964978   0.0  0.977637
t539   0.188085   0.0     1.0  0.943664  0.964986   0.0  0.977639
t540   0.188018   0.0     1.0  0.943635  0.964994   0.0  0.977641
t541   0.187951   0.0     1.0  0.943606  0.965001   0.0  0.977642
t542   0.187886   0.0     1.0  0.943577  0.965009   0.0  0.977644
t543   0.187822   0.0     1.0  0.943548  0.965016   0.0  0.977646
t544   0.187759   0.0     1.0  0.943519  0.965024   0.0  0.977648
t545   0.187697   0.0     1.0  0.943490  0.965031   0.0  0.977650
t546   0.187636   0.0     1.0  0.943461  0.965039   0.0  0.977651
t547   0.187577   0.0     1.0  0.943432  0.965046   0.0  0.977653
t548   0.187518   0.0     1.0  0.943403  0.965053   0.0  0.977655
t549   0.187461   0.0     1.0  0.943374  0.965061   0.0  0.977657
t550   0.187405   0.0     1.0  0.943345  0.965068   0.0  0.977659
t551   0.187349   0.0     1.0  0.943316  0.965075   0.0  0.977661
t552   0.187295   0.0     1.0  0.943287  0.965083   0.0  0.977662
t553   0.187242   0.0     1.0  0.943258  0.965090   0.0  0.977664
t554   0.187190   0.0     1.0  0.943230  0.965097   0.0  0.977666
t555   0.187139   0.0     1.0  0.943201  0.965104   0.0  0.977668
t556   0.187088   0.0     1.0  0.943172  0.965112   0.0  0.977670
t557   0.187039   0.0     1.0  0.943144  0.965119   0.0  0.977672
t558   0.186991   0.0     1.0  0.943115  0.965126   0.0  0.977673
t559   0.186943   0.0     1.0  0.943086  0.965133   0.0  0.977675
t560   0.186897   0.0     1.0  0.943058  0.965140   0.0  0.977677
t561   0.186851   0.0     1.0  0.943029  0.965147   0.0  0.977679
t562   0.186807   0.0     1.0  0.943000  0.965154   0.0  0.977681
t563   0.186763   0.0     1.0  0.942972  0.965161   0.0  0.977683
t564   0.186720   0.0     1.0  0.942943  0.965169   0.0  0.977684
t565   0.186678   0.0     1.0  0.942915  0.965176   0.0  0.977686
t566   0.186637   0.0     1.0  0.942886  0.965183   0.0  0.977688
t567   0.186596   0.0     1.0  0.942858  0.965189   0.0  0.977690
t568   0.186556   0.0     1.0  0.942829  0.965196   0.0  0.977692
t569   0.186518   0.0     1.0  0.942801  0.965203   0.0  0.977694
t570   0.186480   0.0     1.0  0.942772  0.965210   0.0  0.977696
t571   0.186442   0.0     1.0  0.942744  0.965217   0.0  0.977697
t572   0.186406   0.0     1.0  0.942716  0.965224   0.0  0.977699
t573   0.186370   0.0     1.0  0.942687  0.965231   0.0  0.977701
t574   0.186335   0.0     1.0  0.942659  0.965238   0.0  0.977703
t575   0.186301   0.0     1.0  0.942631  0.965244   0.0  0.977705
t576   0.186267   0.0     1.0  0.942602  0.965251   0.0  0.977707
t577   0.186234   0.0     1.0  0.942574  0.965258   0.0  0.977709
t578   0.186202   0.0     1.0  0.942546  0.965265   0.0  0.977710
t579   0.186170   0.0     1.0  0.942517  0.965272   0.0  0.977712
t580   0.186140   0.0     1.0  0.942489  0.965278   0.0  0.977714
t581   0.186109   0.0     1.0  0.942461  0.965285   0.0  0.977716
t582   0.186080   0.0     1.0  0.942433  0.965292   0.0  0.977718
t583   0.186051   0.0     1.0  0.942405  0.965298   0.0  0.977720
t584   0.186023   0.0     1.0  0.942376  0.965305   0.0  0.977722
t585   0.185995   0.0     1.0  0.942348  0.965311   0.0  0.977724
t586   0.185968   0.0     1.0  0.942320  0.965318   0.0  0.977725
t587   0.185942   0.0     1.0  0.942292  0.965325   0.0  0.977727
t588   0.185916   0.0     1.0  0.942264  0.965331   0.0  0.977729
t589   0.185891   0.0     1.0  0.942236  0.965338   0.0  0.977731
t590   0.185866   0.0     1.0  0.942208  0.965344   0.0  0.977733
t591   0.185842   0.0     1.0  0.942180  0.965351   0.0  0.977735
t592   0.185818   0.0     1.0  0.942151  0.965357   0.0  0.977737
t593   0.185795   0.0     1.0  0.942123  0.965364   0.0  0.977739
t594   0.185773   0.0     1.0  0.942095  0.965370   0.0  0.977740
t595   0.185751   0.0     1.0  0.942067  0.965376   0.0  0.977742
t596   0.185729   0.0     1.0  0.942039  0.965383   0.0  0.977744
t597   0.185708   0.0     1.0  0.942011  0.965389   0.0  0.977746
t598   0.185688   0.0     1.0  0.941983  0.965396   0.0  0.977748
t599   0.185668   0.0     1.0  0.941955  0.965402   0.0  0.977750
t600   0.185649   0.0     1.0  0.941927  0.965408   0.0  0.977752
t601   0.185630   0.0     1.0  0.941899  0.965415   0.0  0.977754
t602   0.185611   0.0     1.0  0.941872  0.965421   0.0  0.977755
t603   0.185594   0.0     1.0  0.941844  0.965427   0.0  0.977757
t604   0.185576   0.0     1.0  0.941816  0.965433   0.0  0.977759
t605   0.185559   0.0     1.0  0.941788  0.965440   0.0  0.977761
t606   0.185542   0.0     1.0  0.941760  0.965446   0.0  0.977763
t607   0.185526   0.0     1.0  0.941732  0.965452   0.0  0.977765
t608   0.185510   0.0     1.0  0.941704  0.965458   0.0  0.977767
t609   0.185495   0.0     1.0  0.941676  0.965464   0.0  0.977769
t610   0.185480   0.0     1.0  0.941649  0.965471   0.0  0.977770
t611   0.185466   0.0     1.0  0.941621  0.965477   0.0  0.977772
t612   0.185452   0.0     1.0  0.941593  0.965483   0.0  0.977774
t613   0.185438   0.0     1.0  0.941565  0.965489   0.0  0.977776
t614   0.185425   0.0     1.0  0.941537  0.965495   0.0  0.977778
t615   0.185412   0.0     1.0  0.941509  0.965501   0.0  0.977780
t616   0.185400   0.0     1.0  0.941482  0.965507   0.0  0.977782
t617   0.185387   0.0     1.0  0.941454  0.965513   0.0  0.977784
t618   0.185376   0.0     1.0  0.941426  0.965519   0.0  0.977786
t619   0.185364   0.0     1.0  0.941398  0.965525   0.0  0.977787
t620   0.185353   0.0     1.0  0.941371  0.965531   0.0  0.977789
t621   0.185343   0.0     1.0  0.941343  0.965537   0.0  0.977791
t622   0.185332   0.0     1.0  0.941315  0.965543   0.0  0.977793
t623   0.185322   0.0     1.0  0.941287  0.965549   0.0  0.977795
t624   0.185313   0.0     1.0  0.941260  0.965555   0.0  0.977797
t625   0.185303   0.0     1.0  0.941232  0.965561   0.0  0.977799
t626   0.185294   0.0     1.0  0.941204  0.965567   0.0  0.977801
t627   0.185286   0.0     1.0  0.941177  0.965573   0.0  0.977802
t628   0.185277   0.0     1.0  0.941149  0.965578   0.0  0.977804
t629   0.185269   0.0     1.0  0.941121  0.965584   0.0  0.977806
t630   0.185262   0.0     1.0  0.941094  0.965590   0.0  0.977808
t631   0.185254   0.0     1.0  0.941066  0.965596   0.0  0.977810
t632   0.185247   0.0     1.0  0.941038  0.965602   0.0  0.977812
t633   0.185240   0.0     1.0  0.941011  0.965608   0.0  0.977814
t634   0.185234   0.0     1.0  0.940983  0.965613   0.0  0.977816
t635   0.185227   0.0     1.0  0.940956  0.965619   0.0  0.977817
t636   0.185221   0.0     1.0  0.940928  0.965625   0.0  0.977819
t637   0.185216   0.0     1.0  0.940900  0.965630   0.0  0.977821
t638   0.185210   0.0     1.0  0.940873  0.965636   0.0  0.977823
t639   0.185205   0.0     1.0  0.940845  0.965642   0.0  0.977825
t640   0.185200   0.0     1.0  0.940818  0.965648   0.0  0.977827
t641   0.185196   0.0     1.0  0.940790  0.965653   0.0  0.977829
t642   0.185191   0.0     1.0  0.940762  0.965659   0.0  0.977831
t643   0.185187   0.0     1.0  0.940735  0.965665   0.0  0.977832
t644   0.185183   0.0     1.0  0.940707  0.965670   0.0  0.977834
t645   0.185180   0.0     1.0  0.940680  0.965676   0.0  0.977836
t646   0.185176   0.0     1.0  0.940652  0.965681   0.0  0.977838
t647   0.185173   0.0     1.0  0.940625  0.965687   0.0  0.977840
t648   0.185170   0.0     1.0  0.940597  0.965692   0.0  0.977842
t649   0.185167   0.0     1.0  0.940570  0.965698   0.0  0.977844
t650   0.185165   0.0     1.0  0.940542  0.965704   0.0  0.977846
t651   0.185162   0.0     1.0  0.940515  0.965709   0.0  0.977847
t652   0.185160   0.0     1.0  0.940487  0.965715   0.0  0.977849
t653   0.185159   0.0     1.0  0.940460  0.965720   0.0  0.977851
t654   0.185157   0.0     1.0  0.940432  0.965726   0.0  0.977853
t655   0.185155   0.0     1.0  0.940405  0.965731   0.0  0.977855
t656   0.185154   0.0     1.0  0.940377  0.965736   0.0  0.977857
t657   0.185153   0.0     1.0  0.940350  0.965742   0.0  0.977859
t658   0.185152   0.0     1.0  0.940322  0.965747   0.0  0.977861
t659   0.185152   0.0     1.0  0.940295  0.965753   0.0  0.977862
t660   0.185151   0.0     1.0  0.940267  0.965758   0.0  0.977864
t661   0.185151   0.0     1.0  0.940240  0.965764   0.0  0.977866
t662   0.185151   0.0     1.0  0.940212  0.965769   0.0  0.977868
t663   0.185151   0.0     1.0  0.940185  0.965774   0.0  0.977870
t664   0.185151   0.0     1.0  0.940158  0.965780   0.0  0.977872
t665   0.185152   0.0     1.0  0.940130  0.965785   0.0  0.977874
t666   0.185152   0.0     1.0  0.940103  0.965790   0.0  0.977875
t667   0.185153   0.0     1.0  0.940075  0.965796   0.0  0.977877
t668   0.185154   0.0     1.0  0.940048  0.965801   0.0  0.977879
t669   0.185155   0.0     1.0  0.940020  0.965806   0.0  0.977881
t670   0.185157   0.0     1.0  0.939993  0.965811   0.0  0.977883
t671   0.185158   0.0     1.0  0.939966  0.965817   0.0  0.977885
t672   0.185160   0.0     1.0  0.939938  0.965822   0.0  0.977887
t673   0.185161   0.0     1.0  0.939911  0.965827   0.0  0.977888
t674   0.185163   0.0     1.0  0.939884  0.965832   0.0  0.977890
t675   0.185165   0.0     1.0  0.939856  0.965838   0.0  0.977892
t676   0.185168   0.0     1.0  0.939829  0.965843   0.0  0.977894
t677   0.185170   0.0     1.0  0.939801  0.965848   0.0  0.977896
t678   0.185172   0.0     1.0  0.939774  0.965853   0.0  0.977898
t679   0.185175   0.0     1.0  0.939747  0.965858   0.0  0.977900
t680   0.185178   0.0     1.0  0.939719  0.965863   0.0  0.977901
t681   0.185181   0.0     1.0  0.939692  0.965869   0.0  0.977903
t682   0.185184   0.0     1.0  0.939665  0.965874   0.0  0.977905
t683   0.185187   0.0     1.0  0.939637  0.965879   0.0  0.977907
t684   0.185190   0.0     1.0  0.939610  0.965884   0.0  0.977909
t685   0.185194   0.0     1.0  0.939583  0.965889   0.0  0.977911
t686   0.185197   0.0     1.0  0.939555  0.965894   0.0  0.977913
t687   0.185201   0.0     1.0  0.939528  0.965899   0.0  0.977914
t688   0.185205   0.0     1.0  0.939501  0.965904   0.0  0.977916
t689   0.185209   0.0     1.0  0.939473  0.965909   0.0  0.977918
t690   0.185213   0.0     1.0  0.939446  0.965914   0.0  0.977920
t691   0.185217   0.0     1.0  0.939419  0.965919   0.0  0.977922
t692   0.185221   0.0     1.0  0.939391  0.965924   0.0  0.977924
t693   0.185226   0.0     1.0  0.939364  0.965929   0.0  0.977925
t694   0.185230   0.0     1.0  0.939337  0.965934   0.0  0.977927
t695   0.185235   0.0     1.0  0.939309  0.965939   0.0  0.977929
t696   0.185240   0.0     1.0  0.939282  0.965944   0.0  0.977931
t697   0.185244   0.0     1.0  0.939255  0.965949   0.0  0.977933
t698   0.185249   0.0     1.0  0.939228  0.965954   0.0  0.977935
t699   0.185254   0.0     1.0  0.939200  0.965959   0.0  0.977936
t700   0.185260   0.0     1.0  0.939173  0.965964   0.0  0.977938
t701   0.185265   0.0     1.0  0.939146  0.965969   0.0  0.977940
t702   0.185270   0.0     1.0  0.939118  0.965974   0.0  0.977942
t703   0.185275   0.0     1.0  0.939091  0.965979   0.0  0.977944
t704   0.185281   0.0     1.0  0.939064  0.965983   0.0  0.977946
t705   0.185287   0.0     1.0  0.939037  0.965988   0.0  0.977947
t706   0.185292   0.0     1.0  0.939009  0.965993   0.0  0.977949
t707   0.185298   0.0     1.0  0.938982  0.965998   0.0  0.977951
t708   0.185304   0.0     1.0  0.938955  0.966003   0.0  0.977953
t709   0.185310   0.0     1.0  0.938928  0.966008   0.0  0.977955
t710   0.185316   0.0     1.0  0.938900  0.966012   0.0  0.977957
t711   0.185322   0.0     1.0  0.938873  0.966017   0.0  0.977958
t712   0.185328   0.0     1.0  0.938846  0.966022   0.0  0.977960
t713   0.185335   0.0     1.0  0.938819  0.966027   0.0  0.977962
t714   0.185341   0.0     1.0  0.938791  0.966031   0.0  0.977964
t715   0.185347   0.0     1.0  0.938764  0.966036   0.0  0.977966
t716   0.185354   0.0     1.0  0.938737  0.966041   0.0  0.977968
t717   0.185361   0.0     1.0  0.938710  0.966046   0.0  0.977969
t718   0.185367   0.0     1.0  0.938683  0.966050   0.0  0.977971
t719   0.185374   0.0     1.0  0.938655  0.966055   0.0  0.977973
t720   0.185381   0.0     1.0  0.938628  0.966060   0.0  0.977975
t721   0.185388   0.0     1.0  0.938601  0.966065   0.0  0.977977
t722   0.185395   0.0     1.0  0.938574  0.966069   0.0  0.977978
t723   0.185402   0.0     1.0  0.938546  0.966074   0.0  0.977980
t724   0.185409   0.0     1.0  0.938519  0.966079   0.0  0.977982
t725   0.185416   0.0     1.0  0.938492  0.966083   0.0  0.977984
t726   0.185423   0.0     1.0  0.938465  0.966088   0.0  0.977986
t727   0.185431   0.0     1.0  0.938438  0.966092   0.0  0.977988
t728   0.185438   0.0     1.0  0.938410  0.966097   0.0  0.977989
t729   0.185445   0.0     1.0  0.938383  0.966102   0.0  0.977991
t730   0.185453   0.0     1.0  0.938356  0.966106   0.0  0.977993
t731   0.185460   0.0     1.0  0.938329  0.966111   0.0  0.977995
t732   0.185468   0.0     1.0  0.938302  0.966115   0.0  0.977997
t733   0.185476   0.0     1.0  0.938275  0.966120   0.0  0.977998
t734   0.185483   0.0     1.0  0.938247  0.966125   0.0  0.978000
t735   0.185491   0.0     1.0  0.938220  0.966129   0.0  0.978002
t736   0.185499   0.0     1.0  0.938193  0.966134   0.0  0.978004
t737   0.185507   0.0     1.0  0.938166  0.966138   0.0  0.978006
t738   0.185515   0.0     1.0  0.938139  0.966143   0.0  0.978007
t739   0.185523   0.0     1.0  0.938112  0.966147   0.0  0.978009
t740   0.185531   0.0     1.0  0.938084  0.966152   0.0  0.978011
t741   0.185539   0.0     1.0  0.938057  0.966156   0.0  0.978013
t742   0.185547   0.0     1.0  0.938030  0.966161   0.0  0.978015
t743   0.185555   0.0     1.0  0.938003  0.966165   0.0  0.978016
t744   0.185564   0.0     1.0  0.937976  0.966170   0.0  0.978018
t745   0.185572   0.0     1.0  0.937949  0.966174   0.0  0.978020
t746   0.185580   0.0     1.0  0.937922  0.966179   0.0  0.978022
t747   0.185589   0.0     1.0  0.937894  0.966183   0.0  0.978024
t748   0.185597   0.0     1.0  0.937867  0.966187   0.0  0.978025
t749   0.185606   0.0     1.0  0.937840  0.966192   0.0  0.978027
t750   0.185614   0.0     1.0  0.937813  0.966196   0.0  0.978029
t751   0.185623   0.0     1.0  0.937786  0.966201   0.0  0.978031
t752   0.185631   0.0     1.0  0.937759  0.966205   0.0  0.978033
t753   0.185640   0.0     1.0  0.937732  0.966209   0.0  0.978034
t754   0.185649   0.0     1.0  0.937704  0.966214   0.0  0.978036
t755   0.185657   0.0     1.0  0.937677  0.966218   0.0  0.978038
t756   0.185666   0.0     1.0  0.937650  0.966223   0.0  0.978040
t757   0.185675   0.0     1.0  0.937623  0.966227   0.0  0.978041
t758   0.185684   0.0     1.0  0.937596  0.966231   0.0  0.978043
t759   0.185693   0.0     1.0  0.937569  0.966236   0.0  0.978045
t760   0.185702   0.0     1.0  0.937542  0.966240   0.0  0.978047
t761   0.185711   0.0     1.0  0.937515  0.966244   0.0  0.978049
t762   0.185720   0.0     1.0  0.937488  0.966248   0.0  0.978050
t763   0.185729   0.0     1.0  0.937461  0.966253   0.0  0.978052
t764   0.185738   0.0     1.0  0.937433  0.966257   0.0  0.978054
t765   0.185747   0.0     1.0  0.937406  0.966261   0.0  0.978056
t766   0.185756   0.0     1.0  0.937379  0.966266   0.0  0.978057
t767   0.185765   0.0     1.0  0.937352  0.966270   0.0  0.978059
t768   0.185774   0.0     1.0  0.937325  0.966274   0.0  0.978061
t769   0.185783   0.0     1.0  0.937298  0.966278   0.0  0.978063
t770   0.185793   0.0     1.0  0.937271  0.966283   0.0  0.978065
t771   0.185802   0.0     1.0  0.937244  0.966287   0.0  0.978066
t772   0.185811   0.0     1.0  0.937217  0.966291   0.0  0.978068
t773   0.185821   0.0     1.0  0.937190  0.966295   0.0  0.978070
t774   0.185830   0.0     1.0  0.937163  0.966299   0.0  0.978072
t775   0.185839   0.0     1.0  0.937136  0.966304   0.0  0.978073
t776   0.185849   0.0     1.0  0.937108  0.966308   0.0  0.978075
t777   0.185858   0.0     1.0  0.937081  0.966312   0.0  0.978077
t778   0.185868   0.0     1.0  0.937054  0.966316   0.0  0.978079
t779   0.185877   0.0     1.0  0.937027  0.966320   0.0  0.978080
t780   0.185887   0.0     1.0  0.937000  0.966325   0.0  0.978082
t781   0.185896   0.0     1.0  0.936973  0.966329   0.0  0.978084
t782   0.185906   0.0     1.0  0.936946  0.966333   0.0  0.978086
t783   0.185916   0.0     1.0  0.936919  0.966337   0.0  0.978087
t784   0.185925   0.0     1.0  0.936892  0.966341   0.0  0.978089
