           S_ALK        S_I       S_ND       S_NH      S_NO       S_O        S_S      X_BA        X_BH        X_I       X_ND        X_P        X_S
t46     5.997418  39.259107   8.633730   8.853853  4.880437  1.847662  51.544966  1.994557  101.466210  39.259107  17.042226   0.153162  70.876716
t47     5.997181  39.243572   8.605951   8.879713  4.877963  1.847697  51.287035  1.994448  101.579413  39.243572  17.015908   0.156467  70.788709
t48     5.996937  39.228061   8.578332   8.905436  4.875495  1.847733  51.029698  1.994339  101.692346  39.228061  16.989616   0.159772  70.700772
t49     5.996686  39.212573   8.550875   8.931021  4.873033  1.847772  50.772959  1.994230  101.805007  39.212573  16.963349   0.163075  70.612905
t50     5.996429  39.197110   8.523578   8.956469  4.870577  1.847812  50.516821  1.994122  101.917394  39.197110  16.937108   0.166378  70.525109
t51     5.996165  39.181670   8.496440   8.981781  4.868128  1.847854  50.261288  1.994014  102.029506  39.181670  16.910893   0.169679  70.437383
t52     5.995894  39.166253   8.469461   9.006959  4.865684  1.847898  50.006362  1.993906  102.141339  39.166253  16.884704   0.172979  70.349728
t53     5.995617  39.150860   8.442640   9.032002  4.863246  1.847943  49.752046  1.993798  102.252893  39.150860  16.858541   0.176278  70.262144
t54     5.995333  39.135491   8.415976   9.056911  4.860814  1.847990  49.498345  1.993691  102.364164  39.135491  16.832403   0.179575  70.174631
t55     5.995043  39.120145   8.389468   9.081688  4.858388  1.848039  49.245261  1.993584  102.475152  39.120145  16.806292   0.182872  70.087189
t56     5.994746  39.104823   8.363116   9.106334  4.855969  1.848090  48.992797  1.993478  102.585854  39.104823  16.780207   0.186167  69.999818
t57     5.994443  39.089524   8.336918   9.130848  4.853556  1.848143  48.740957  1.993372  102.696268  39.089524  16.754147   0.189461  69.912518
t58     5.994133  39.074248   8.310875   9.155232  4.851148  1.848197  48.489745  1.993266  102.806391  39.074248  16.728114   0.192754  69.825289
t59     5.993817  39.058996   8.284985   9.179487  4.848748  1.848254  48.239162  1.993160  102.916223  39.058996  16.702107   0.196046  69.738132
t60     5.993495  39.043767   8.259248   9.203613  4.846353  1.848312  47.989214  1.993055  103.025760  39.043767  16.676126   0.199336  69.651046
t61     5.993167  39.028561   8.233662   9.227612  4.843965  1.848372  47.739902  1.992950  103.135001  39.028561  16.650172   0.202626  69.564031
t62     5.992833  39.013378   8.208228   9.251483  4.841584  1.848434  47.491231  1.992845  103.243944  39.013378  16.624243   0.205914  69.477088
t63     5.992492  38.998219   8.182944   9.275229  4.839209  1.848498  47.243204  1.992741  103.352587  38.998219  16.598341   0.209200  69.390217
t64     5.992146  38.983083   8.157809   9.298849  4.836840  1.848563  46.995824  1.992637  103.460927  38.983083  16.572466   0.212486  69.303417
t65     5.991793  38.967970   8.132824   9.322344  4.834478  1.848631  46.749094  1.992533  103.568963  38.967970  16.546616   0.215770  69.216690
t66     5.991435  38.952880   8.107986   9.345716  4.832122  1.848700  46.503018  1.992429  103.676691  38.952880  16.520794   0.219053  69.130034
t67     5.991070  38.937813   8.083296   9.368965  4.829773  1.848771  46.257599  1.992326  103.784112  38.937813  16.494997   0.222335  69.043451
t68     5.990700  38.922769   8.058753   9.392092  4.827431  1.848844  46.012841  1.992223  103.891221  38.922769  16.469228   0.225615  68.956939
t69     5.990324  38.907748   8.034356   9.415098  4.825095  1.848919  45.768747  1.992120  103.998017  38.907748  16.443485   0.228894  68.870500
t70     5.989943  38.892750   8.010104   9.437983  4.822766  1.848996  45.525320  1.992018  104.104499  38.892750  16.417768   0.232172  68.784134
t71     5.989555  38.877775   7.985997   9.460748  4.820444  1.849075  45.282564  1.991916  104.210663  38.877775  16.392078   0.235449  68.697840
t72     5.989162  38.862823   7.962033   9.483395  4.818129  1.849156  45.040482  1.991814  104.316508  38.862823  16.366415   0.238724  68.611618
t73     5.988763  38.847894   7.938212   9.505923  4.815821  1.849238  44.799078  1.991712  104.422032  38.847894  16.340779   0.241997  68.525469
t74     5.988359  38.832987   7.914534   9.528334  4.813519  1.849323  44.558355  1.991611  104.527232  38.832987  16.315169   0.245270  68.439393
t75     5.987949  38.818104   7.890997   9.550628  4.811225  1.849409  44.318316  1.991510  104.632107  38.818104  16.289587   0.248541  68.353390
t76     5.987534  38.803243   7.867602   9.572806  4.808937  1.849497  44.078965  1.991409  104.736654  38.803243  16.264031   0.251811  68.267459
t77     5.987113  38.788404   7.844346   9.594869  4.806657  1.849588  43.840306  1.991309  104.840871  38.788404  16.238502   0.255079  68.181602
t78     5.986687  38.773589   7.821230   9.616818  4.804383  1.849680  43.602342  1.991208  104.944756  38.773589  16.213000   0.258346  68.095818
t79     5.986256  38.758796   7.798253   9.638654  4.802117  1.849774  43.365075  1.991109  105.048306  38.758796  16.187525   0.261612  68.010108
t80     5.985819  38.744025   7.775414   9.660377  4.799858  1.849870  43.128511  1.991009  105.151521  38.744025  16.162078   0.264876  67.924471
t81     5.985377  38.729278   7.752712   9.681988  4.797606  1.849968  42.892652  1.990909  105.254397  38.729278  16.136657   0.268139  67.838907
t82     5.984930  38.714552   7.730147   9.703487  4.795361  1.850068  42.657501  1.990810  105.356933  38.714552  16.111264   0.271400  67.753417
t83     5.984478  38.699849   7.707718   9.724876  4.793124  1.850170  42.423063  1.990711  105.459125  38.699849  16.085898   0.274660  67.668001
t84     5.984021  38.685169   7.685425   9.746156  4.790894  1.850273  42.189340  1.990613  105.560973  38.685169  16.060559   0.277919  67.582659
t85     5.983559  38.670511   7.663265   9.767327  4.788671  1.850379  41.956336  1.990514  105.662474  38.670511  16.035248   0.281176  67.497391
t86     5.983091  38.655876   7.641240   9.788389  4.786456  1.850487  41.724055  1.990416  105.763626  38.655876  16.009964   0.284431  67.412197
t87     5.982619  38.641263   7.619348   9.809344  4.784248  1.850597  41.492499  1.990318  105.864427  38.641263  15.984707   0.287685  67.327077
t88     5.982142  38.626672   7.597589   9.830192  4.782048  1.850708  41.261674  1.990221  105.964874  38.626672  15.959478   0.290938  67.242032
t89     5.981660  38.612103   7.575961   9.850935  4.779856  1.850822  41.031581  1.990123  106.064966  38.612104  15.934276   0.294189  67.157061
t90     5.981173  38.597557   7.554464   9.871572  4.777671  1.850938  40.802224  1.990026  106.164700  38.597558  15.909102   0.297439  67.072166
t91     5.980682  38.583033   7.533098   9.892105  4.775493  1.851055  40.573608  1.989929  106.264075  38.583034  15.883956   0.300687  66.987345
t92     5.980185  38.568531   7.511862   9.912534  4.773324  1.851175  40.345735  1.989832  106.363088  38.568533  15.858838   0.303934  66.902599
t93     5.979684  38.554051   7.490755   9.932860  4.771162  1.851296  40.118608  1.989736  106.461738  38.554054  15.833747   0.307179  66.817929
t94     5.979179  38.539594   7.469776   9.953085  4.769008  1.851420  39.892232  1.989640  106.560022  38.539597  15.808684   0.310422  66.733334
t95     5.978668  38.525158   7.448925   9.973207  4.766861  1.851545  39.666610  1.989544  106.657940  38.525164  15.783650   0.313664  66.648816
t96     5.978153  38.510745   7.428201   9.993229  4.764723  1.851673  39.441745  1.989449  106.755488  38.510753  15.758643   0.316905  66.564375
t97     5.977634  38.496353   7.407604  10.013151  4.762593  1.851802  39.217641  1.989353  106.852668  38.496366  15.733665   0.320144  66.480012
t98     5.977110  38.481984   7.387132  10.032974  4.760470  1.851934  38.994301  1.989258  106.949478  38.482002  15.708717   0.323381  66.395729
t99     5.976582  38.467637   7.366786  10.052698  4.758356  1.852067  38.771728  1.989164  107.045920  38.467665  15.683797   0.326617  66.311528
t100    5.976050  38.453311   7.346563  10.072324  4.756249  1.852202  38.549927  1.989070  107.141996  38.453354  15.658908   0.329851  66.227412
t101    5.975513  38.439007   7.326465  10.091853  4.754151  1.852340  38.328900  1.988976  107.237709  38.439072  15.634051   0.333084  66.143386
t102    5.974972  38.424725   7.306489  10.111286  4.752061  1.852479  38.108650  1.988884  107.333062  38.424822  15.609226   0.336315  66.059453
t103    5.974426  38.410465   7.286637  10.130624  4.749979  1.852620  37.889182  1.988792  107.428061  38.410605  15.584435   0.339544  65.975620
t104    5.973877  38.396227   7.266905  10.149866  4.747906  1.852763  37.670498  1.988701  107.522734  38.396435  15.559682   0.342772  65.891909
t105    5.973323  38.382011   7.247295  10.169014  4.745840  1.852908  37.452602  1.988613  107.617128  38.382329  15.534978   0.345999  65.808354
t106    5.972765  38.367816   7.227806  10.188069  4.743783  1.853055  37.235496  1.988529  107.711301  38.368313  15.510332   0.349224  65.725001
