              S_ALK           S_I         S_ND          S_NH         S_NO       S_O           S_S        X_BA         X_BH          X_I         X_ND          X_P          X_S
t45      210.488859   1374.865269   314.284795    288.737263    143.18122   0.02451   2028.500509   61.753852  3047.054833  1031.148952   468.000605     1.932789  1932.457175
t46      215.260025   1405.411507   320.552179    295.826408   145.712006  0.025083   2069.640011   63.123365  3116.521959   1054.05863   478.321809     2.021398  1975.366574
t47      220.035041   1435.957328   326.790486     302.94282   148.215303  0.025656   2110.611211   64.492757  3186.063305  1076.967996   488.639491     2.112025  2018.274229
t48      224.813893   1466.502725   332.999843    310.086379   150.691172   0.02623   2151.414358   65.862028  3255.678705  1099.877044   498.953649     2.204672  2061.180129
t49      229.596568   1497.047688   339.180377    317.256966   153.139677  0.026803   2192.049706   67.231178   3325.36799  1122.785766   509.264276     2.299342  2104.084264
t50      234.383051   1527.592209   345.332216    324.454462    155.56088  0.027376   2232.517516   68.600208  3395.130986  1145.694157   519.571369     2.396037  2146.986624
t51      239.173326   1558.136279   351.455486    331.678748   157.954846   0.02795   2272.818055   69.969117  3464.967517  1168.602209   529.874924     2.494758  2189.887197
t52      243.967381   1588.679889   357.550314    338.929706    160.32164  0.028524   2312.951595   71.337906  3534.877404  1191.509916   540.174936     2.595507  2232.785976
t53      248.765201    1619.22303   363.616823    346.207218   162.661329  0.029098   2352.918417   72.706574  3604.860463  1214.417273   550.471402     2.698287  2275.682951
t54      253.566771   1649.765695   369.655141    353.511168    164.97398  0.029672   2392.718805   74.075122  3674.916507  1237.324271   560.764318       2.8031  2318.578115
t55      258.372076   1680.307874    375.66539    360.841439   167.259662  0.030246   2432.353051   75.443549  3745.045346  1260.230905    571.05368     2.909948  2361.471459
t56      263.181103   1710.849558   381.647696    368.197916   169.518444   0.03082   2471.821455   76.811856  3815.246787  1283.137169   581.339485     3.018832  2404.362978
t57      267.993837    1741.39074   387.602181    375.580483   171.750396  0.031395    2511.12432   78.180042  3885.520631  1306.043055    591.62173     3.129754  2447.252664
t58      272.810263   1771.931411    393.52897    382.989026    173.95559  0.031969   2550.261959   79.548109  3955.866677  1328.948558   601.900411     3.242718  2490.140512
t59      277.630367   1802.471561   399.428184     390.42343   176.134099  0.032544    2589.23469   80.916054   4026.28472  1351.853671   612.175526     3.357724  2533.026517
t60      282.454134   1833.011183   405.299946    397.883584   178.285997  0.033119   2628.042839    82.28388   4096.77455  1374.758387   622.447071     3.474774  2575.910675
t61      287.281549   1863.550268   411.144378    405.369372   180.411358  0.033695    2666.68674   83.651586  4167.335955  1397.662701   632.715045     3.593871  2618.792981
t62      292.112598   1894.088808     416.9616    412.880685   182.510259  0.034271   2705.166731   85.019171  4237.968718  1420.566606   642.979445     3.715016  2661.673434
t63      296.947266   1924.626794   422.751733    420.417409   184.582776  0.034847    2743.48316   86.386637  4308.672616  1443.470096   653.240268     3.838212   2704.55203
t64      301.785539   1955.164218   428.514897    427.979434   186.628989  0.035423   2781.636381   87.753982  4379.447426  1466.373163   663.497513      3.96346  2747.428768
t65        306.6274   1985.701071   434.251213     435.56665   188.648976     0.036   2819.626758   89.121207  4450.292916  1489.275803   673.751178     4.090762  2790.303647
t66      311.472837   2016.237344   439.960798    443.178947   190.642819  0.036577   2857.454659   90.488313  4521.208854  1512.178008    684.00126      4.22012  2833.176667
t67      316.321833   2046.773031   445.643772    450.816216     192.6106  0.037154   2895.120462   91.855299  4592.195001  1535.079773    694.24776     4.351536  2876.047829
t68      321.174374   2077.308121   451.300252    458.478348   194.552402  0.037732   2932.624553   93.222165  4663.251114  1557.981091   704.490674     4.485012  2918.917134
t69      326.030446   2107.842608   456.930357    466.165236   196.468311   0.03831   2969.967326   94.588911  4734.376945  1580.881955   714.730002      4.62055  2961.784584
t70      330.890032   2138.376481   462.534203    473.876772   198.358411  0.038889   3007.149182   95.955537  4805.572243  1603.782361   724.965744     4.758152  3004.650182
t71      335.753117   2168.909734   468.111906    481.612851   200.222791  0.039468   3044.170531   97.322044  4876.836751    1626.6823   735.197899     4.897819  3047.513933
t72      340.619688   2199.442358   473.663582    489.373365   202.061539  0.040048   3081.031793   98.688431  4948.170207  1649.581768   745.426466     5.039554   3090.37584
t73      345.489728   2229.974345   479.189347     497.15821   203.874746  0.040628   3117.733395  100.054699  5019.572344  1672.480758   755.651444     5.183358   3133.23591
t74      350.363222   2260.505686   484.689316    504.967282   205.662502  0.041208   3154.275772  101.420847  5091.042891  1695.379263   765.872835     5.329233  3176.094149
t75      355.240156   2291.036373   490.163602    512.800476   207.424903  0.041789   3190.659371  102.786875  5162.581571  1718.277278   776.090639     5.477181  3218.950564
t76      360.120513   2321.566398    495.61232    520.657689   209.162041  0.042371   3226.884644  104.152784  5234.188103  1741.174796   786.304855     5.627204  3261.805164
t77      365.004279   2352.095753   501.035582     528.53882   210.874013  0.042953   3262.952057  105.518574  5305.862197   1764.07181   796.515484     5.779303  3304.657957
t78      369.891437    2382.62443     506.4335    536.443765   212.560917  0.043536   3298.862081  106.884244  5377.603562  1786.968316   806.722528     5.933481  3347.508953
t79      374.781974    2413.15242   511.806188    544.372424   214.222852  0.044119     3334.6152  108.249796  5449.411897  1809.864305   816.925987     6.089738  3390.358164
t80      379.675871   2443.679716   517.153756    552.324697   215.859919  0.044703   3370.211907  109.615227  5521.286898  1832.759771   827.125862     6.248078    3433.2056
t81      384.573116   2474.206309   522.476314    560.300484    217.47222  0.045287   3405.652702   110.98054  5593.228253  1855.654708   837.322156     6.408502  3476.051273
t82       389.47369   2504.732191   527.773973    568.299685   219.059861  0.045872     3440.9381  112.345733  5665.235643  1878.549108    847.51487      6.57101  3518.895195
t83       394.37758   2535.257355   533.046843    576.322203   220.622946  0.046458   3476.068623  113.710807  5737.308739  1901.442963   857.704004     6.735606  3561.737379
t84      399.284768   2565.781791   538.295031     584.36794   222.161583  0.047044   3511.044805  115.075761  5809.447206  1924.336263    867.88956     6.902291  3604.577835
t85       404.19524   2596.305493   543.518647    592.436799   223.675883  0.047631    3545.86719  116.440595  5881.650696  1947.228998    878.07154     7.071067  3647.416572
t86      409.108979   2626.828452   548.717799    600.528685   225.165955  0.048219   3580.536334  117.805309   5953.91885  1970.121156   888.249943     7.241935  3690.253599
t87      414.025968    2657.35066   553.892592    608.643501   226.631915  0.048808   3615.052803  119.169903  6026.251294  1993.012722   898.424768     7.414896  3733.088917
t88      418.946193   2687.872109   559.043134    616.781154   228.073876  0.049397   3649.417175  120.534375  6098.647629  2015.903673   908.596014     7.589954  3775.922521
t89      423.869636   2718.392791    564.16953     624.94155   229.491956  0.049987   3683.630041  121.898725  6171.107422  2038.793981   918.763672     7.767108  3818.754388
t90      428.796282   2748.912698   569.271884    633.124595   230.886273  0.050578   3717.692001  123.262949   6243.63019    2061.6836   928.927731     7.946361   3861.58447
t91      433.726113   2779.431823   574.350303    641.330198    232.25695  0.051169   3751.603669  124.627045  6316.215385  2084.572467   939.088169     8.127715  3904.412686
t92      438.659115   2809.950157   579.404888    649.558267   233.604108  0.051762   3785.365672  125.991007  6388.862382  2107.460496   949.244955     8.311169  3947.238912
