          H_grow  Han_grow    A_grow   decay_H   decay_A   Ammonia  hydro_org   hydro_N
t            NaN       NaN       NaN       NaN       NaN       NaN        NaN       NaN
t72     0.002971  0.000269  0.000015  0.000603  0.000003  0.000769   0.001623  0.000387
t73     0.002969  0.000269  0.000015  0.000604  0.000003  0.000767   0.001625  0.000388
t74     0.002967  0.000269  0.000015  0.000605  0.000003  0.000766   0.001626  0.000388
t75     0.002965  0.000269  0.000015  0.000605  0.000003  0.000764   0.001628  0.000388
t76     0.002963  0.000268  0.000015  0.000606  0.000003  0.000763   0.001630  0.000388
t77     0.002961  0.000268  0.000015  0.000606  0.000003  0.000761   0.001631  0.000388
t78     0.002959  0.000268  0.000015  0.000607  0.000003  0.000760   0.001633  0.000389
t79     0.002957  0.000268  0.000015  0.000608  0.000003  0.000758   0.001634  0.000389
t80     0.002955  0.000268  0.000015  0.000608  0.000003  0.000757   0.001636  0.000389
t81     0.002953  0.000267  0.000015  0.000609  0.000003  0.000755   0.001637  0.000389
t82     0.002950  0.000267  0.000015  0.000609  0.000003  0.000754   0.001638  0.000390
t83     0.002948  0.000267  0.000015  0.000610  0.000003  0.000752   0.001640  0.000390
t84     0.002946  0.000267  0.000015  0.000611  0.000003  0.000751   0.001641  0.000390
t85     0.002943  0.000266  0.000015  0.000611  0.000003  0.000749   0.001643  0.000390
t86     0.002941  0.000266  0.000015  0.000612  0.000003  0.000748   0.001644  0.000391
t87     0.002938  0.000266  0.000015  0.000612  0.000003  0.000746   0.001646  0.000391
t88     0.002936  0.000266  0.000015  0.000613  0.000003  0.000745   0.001647  0.000391
t89     0.002933  0.000266  0.000015  0.000613  0.000003  0.000744   0.001649  0.000391
t90     0.002931  0.000265  0.000015  0.000614  0.000003  0.000742   0.001650  0.000391
t91     0.002928  0.000265  0.000015  0.000615  0.000003  0.000741   0.001652  0.000392
t92     0.002925  0.000265  0.000015  0.000615  0.000003  0.000739   0.001653  0.000392
t93     0.002922  0.000265  0.000015  0.000616  0.000003  0.000738   0.001654  0.000392
t94     0.002920  0.000264  0.000015  0.000616  0.000003  0.000737   0.001656  0.000392
t95     0.002917  0.000264  0.000015  0.000617  0.000003  0.000735   0.001657  0.000392
t96     0.002914  0.000264  0.000015  0.000617  0.000003  0.000734   0.001659  0.000393
t97     0.002911  0.000263  0.000015  0.000618  0.000003  0.000732   0.001660  0.000393
t98     0.002908  0.000263  0.000015  0.000619  0.000003  0.000731   0.001661  0.000393
t99     0.002905  0.000263  0.000015  0.000619  0.000003  0.000730   0.001663  0.000393
t100    0.002902  0.000263  0.000015  0.000620  0.000003  0.000728   0.001664  0.000393
t101    0.002899  0.000262  0.000015  0.000620  0.000003  0.000727   0.001666  0.000394
t102    0.002896  0.000262  0.000015  0.000621  0.000003  0.000726   0.001667  0.000394
t103    0.002892  0.000262  0.000015  0.000621  0.000003  0.000724   0.001668  0.000394
t104    0.002889  0.000261  0.000015  0.000622  0.000003  0.000723   0.001670  0.000394
t105    0.002886  0.000261  0.000015  0.000622  0.000003  0.000722   0.001671  0.000394
t106    0.002883  0.000261  0.000015  0.000623  0.000003  0.000720   0.001672  0.000395
t107    0.002879  0.000260  0.000015  0.000624  0.000003  0.000719   0.001674  0.000395
t108    0.002876  0.000260  0.000015  0.000624  0.000003  0.000718   0.001675  0.000395
t109    0.002872  0.000260  0.000015  0.000625  0.000003  0.000717   0.001676  0.000395
t110    0.002869  0.000259  0.000015  0.000625  0.000003  0.000715   0.001678  0.000395
t111    0.002866  0.000259  0.000015  0.000626  0.000003  0.000714   0.001679  0.000396
t112    0.002862  0.000259  0.000015  0.000626  0.000003  0.000713   0.001681  0.000396
t113    0.002859  0.000259  0.000015  0.000627  0.000003  0.000712   0.001682  0.000396
t114    0.002856  0.000258  0.000015  0.000628  0.000003  0.000711   0.001684  0.000396
t115    0.002853  0.000258  0.000015  0.000628  0.000003  0.000709   0.001685  0.000397
t116    0.002850  0.000258  0.000015  0.000629  0.000003  0.000708   0.001687  0.000397
t117    0.002847  0.000257  0.000015  0.000630  0.000003  0.000707   0.001689  0.000397
t118    0.002844  0.000257  0.000015  0.000630  0.000003  0.000706   0.001691  0.000397
t119    0.002841  0.000257  0.000015  0.000631  0.000003  0.000705   0.001693  0.000398
t120    0.002839  0.000257  0.000015  0.000632  0.000003  0.000704   0.001695  0.000398
t121    0.002836  0.000256  0.000015  0.000633  0.000003  0.000704   0.001697  0.000399
t122    0.002833  0.000256  0.000015  0.000634  0.000003  0.000703   0.001699  0.000399
t123    0.002831  0.000256  0.000015  0.000634  0.000003  0.000702   0.001701  0.000399
t124    0.002828  0.000256  0.000015  0.000635  0.000003  0.000701   0.001703  0.000400
t125    0.002825  0.000255  0.000015  0.000636  0.000003  0.000700   0.001705  0.000400
t126    0.002823  0.000255  0.000015  0.000637  0.000003  0.000699   0.001707  0.000400
t127    0.002820  0.000255  0.000015  0.000638  0.000003  0.000699   0.001710  0.000401
t128    0.002817  0.000255  0.000015  0.000639  0.000003  0.000698   0.001712  0.000401
t129    0.002815  0.000254  0.000015  0.000640  0.000003  0.000697   0.001714  0.000402
t130    0.002812  0.000254  0.000015  0.000640  0.000003  0.000696   0.001716  0.000402
t131    0.002809  0.000254  0.000015  0.000641  0.000003  0.000695   0.001718  0.000402
t132    0.002806  0.000254  0.000015  0.000642  0.000003  0.000695   0.001721  0.000403
t133    0.002803  0.000253  0.000015  0.000643  0.000003  0.000694   0.001723  0.000403
t134    0.002800  0.000253  0.000015  0.000644  0.000003  0.000693   0.001725  0.000404
t135    0.002797  0.000253  0.000015  0.000645  0.000003  0.000692   0.001727  0.000404
t136    0.002794  0.000252  0.000015  0.000646  0.000003  0.000692   0.001729  0.000404
t137    0.002791  0.000252  0.000015  0.000646  0.000003  0.000691   0.001732  0.000405
t138    0.002788  0.000252  0.000015  0.000647  0.000003  0.000690   0.001734  0.000405
t139    0.002785  0.000252  0.000015  0.000648  0.000003  0.000689   0.001736  0.000405
t140    0.002781  0.000251  0.000015  0.000649  0.000003  0.000689   0.001738  0.000406
t141    0.002778  0.000251  0.000015  0.000650  0.000003  0.000688   0.001740  0.000406
t142    0.002775  0.000251  0.000015  0.000651  0.000003  0.000687   0.001742  0.000407
t143    0.002771  0.000250  0.000015  0.000652  0.000003  0.000686   0.001745  0.000407
t144    0.002768  0.000250  0.000015  0.000652  0.000003  0.000686   0.001747  0.000407
t145    0.002764  0.000250  0.000015  0.000653  0.000003  0.000685   0.001749  0.000408
t146    0.002761  0.000249  0.000015  0.000654  0.000003  0.000684   0.001751  0.000408
t147    0.002757  0.000249  0.000015  0.000655  0.000003  0.000683   0.001753  0.000408
t148    0.002753  0.000249  0.000015  0.000656  0.000003  0.000683   0.001755  0.000409
t149    0.002750  0.000248  0.000015  0.000657  0.000003  0.000682   0.001757  0.000409
t150    0.002746  0.000248  0.000015  0.000657  0.000003  0.000681   0.001759  0.000410
t151    0.002742  0.000248  0.000015  0.000658  0.000003  0.000680   0.001761  0.000410
t152    0.002738  0.000247  0.000015  0.000659  0.000003  0.000680   0.001764  0.000410
t153    0.002734  0.000247  0.000015  0.000660  0.000003  0.000679   0.001766  0.000411
t154    0.002730  0.000247  0.000015  0.000661  0.000003  0.000678   0.001768  0.000411
t155    0.002726  0.000246  0.000015  0.000661  0.000003  0.000678   0.001770  0.000411
t156    0.002722  0.000246  0.000016  0.000662  0.000003  0.000677   0.001772  0.000412
t157    0.002718  0.000245  0.000016  0.000663  0.000003  0.000676   0.001774  0.000412
t158    0.002714  0.000245  0.000016  0.000664  0.000003  0.000675   0.001776  0.000412
t159    0.002710  0.000245  0.000016  0.000665  0.000003  0.000675   0.001778  0.000413
t160    0.002705  0.000244  0.000016  0.000665  0.000003  0.000674   0.001780  0.000413
t161    0.002701  0.000244  0.000016  0.000666  0.000003  0.000673   0.001782  0.000413
t162    0.002697  0.000243  0.000016  0.000667  0.000003  0.000673   0.001784  0.000414
t163    0.002692  0.000243  0.000016  0.000668  0.000003  0.000672   0.001786  0.000414
t164    0.002688  0.000243  0.000016  0.000669  0.000003  0.000671   0.001788  0.000414
t165    0.002683  0.000242  0.000016  0.000669  0.000003  0.000671   0.001790  0.000415
t166    0.002679  0.000242  0.000016  0.000670  0.000003  0.000670   0.001792  0.000415
t167    0.002674  0.000241  0.000016  0.000671  0.000003  0.000669   0.001794  0.000415
t168    0.002670  0.000241  0.000016  0.000672  0.000003  0.000669   0.001796  0.000416
t169    0.002665  0.000241  0.000016  0.000672  0.000003  0.000668   0.001798  0.000416
t170    0.002660  0.000240  0.000016  0.000673  0.000003  0.000667   0.001800  0.000416
t171    0.002655  0.000240  0.000016  0.000674  0.000003  0.000667   0.001802  0.000417
t172    0.002651  0.000239  0.000016  0.000675  0.000003  0.000666   0.001804  0.000417
